주종,주류명,생산국가,용량,도수,특징
위스키,글렌모레이12년,영국,700,40,"스카치 몰트로서는 부드럽고 연한 타입의 대표격. 증류소는 18세기 이래 맥주 공장 자리였던 곳에 1897년에 설립되었다. 조업 중지된 후 1920년에 맥도날드맥도날드&뮤어사의 손으로 옮겨진다. 이후, 동사가 소유하는 글렌모렌지 증류소의 몰트와 함께 하이랜드 퀸이라는 브렌디드 스카치의 중핵을 이루는 몰트로 사용되고 있다.현재, 4기가 가동 중.병은 포트 스틸(단식 증류기)의 모양을 본뜬 유니크한 디자인으로 호평을 받고 있다. 12년산은 숙성된 위스키 맛의 최절정을 즐길 수 있다"
위스키,글렌모레이15년,영국,700,40,
위스키,글렌모레이클래식,영국,700,40,"스카치 몰트로서는 부드럽고 연한 타입의 대표격.증류소는 18세기 이래 맥주 공장 자리였던 곳에 1897년에 설립되었다. 조업 중지된 후 1920년에 맥도날드맥도날드&뮤어사의 손으로 옮겨진다. 이후, 동사가 소유하는 글렌모렌지 증류소의 몰트와 함께 하이랜드 퀸이라는 브렌디드 스카치의 중핵을 이루는 몰트로 사용되고 있다.현재, 4기가 가동 중.병은 포트 스틸(단식 증류기)의 모양을 본뜬 유니크한 디자인으로 호평을 받고 있다"
위스키,글렌모렌지 시그넷,스코틀랜드-하일런스,700,46,"부담스럽지 않으면서도 매우 고급스러운 풍미. 글렌모렌지에서 가장 오래 되고 희귀한 위스키 원액과 하이 로스티드 초콜렛 맥아(20%정도)를 배합. 다크 초콜렛, 모카커피, 오렌지, 시나몬 향"
위스키,글렌모렌지10년,영국,700,40,"맛:The Original Glenmorangie has flavours of honeyed sweetness fused with notes of citrus, vanilla and almonds, making it delicate, alluring and very complex."
위스키,글렌모렌지12년,영국,700,46,
위스키,글렌모렌지14년,영국,700,46,
위스키,글렌모렌지18년(싱글몰트),영국,700,43,"글렌모렌지는 저장고에서 18년의 숙성을 거치게 된 후 완벽한 균형과 복잡미묘한 맛을 함께 갖게 된다. 길고 높은 증류기를 통한 전통증류법을 통해 감미로운 꽃향과 과일향 (시트스, 배)을 얻게 되고, 버번을 담았던 오크 배럴에서의 숙성으로부터 바닐라향, 향신료향, 오크향과 스모크향을 간직하게 된다10년 산은 약간의 단맛과 대맥을 연상시키는 향기가 조화를 이루고 있다. 상큼하며 부드러워서 몰트의 입문에 최적. 18년 산은 버본의 빈 통으로 숙성한 후, 쉐리의 빈 통으로 재숙성시킨 것. 식후에 최적. 쉐리 우드 피니시, 마딜러 우드 피니시, 포트 우드 피니시는 모두 버본의 빈 통으로 12년간 숙성시킨 후, 각각 쉐리, 마딜러, 포트의 빈 통에서 약 2년간 ""마무리 숙성""을 한 것. 몰트의 맛에서 약간 느껴지는 와인의 향기는 각별하다. 카스크 스트렝스는 버본의 빈 통으로 10년 숙성한 통에서 뺀 원액. 몰트 위스키 본래의 맛을 체험할 수 있다."
위스키,글렌모렌지라산타12년,영국,700,46,"165년 전통의 세계적인 싱글 몰트 위스키 제조사에서 출시하는 글렌모렌지 엑스트라 머추어드레인지는 과거 버번 위스키를 담았던 참나무통에서 최소10년간 일차적으로 숙성시킨 글렌모렌지오리지널을 포트, 셰리, 소테른 와인을 담았던 최고급 참나무통으로 옮겨 각각 2년 동안 추가 숙성시킨 세 가지의 싱글 몰트 위스키 제품으로 구성되어 있다.글렌모렌지 엑스트라 머추어드 레인지는1) 풀바디의 우아한 싱글 몰트 위스키 글렌모렌지 라산타, 2) 관능적인 부드러움을 가진 글렌모렌지 퀸타 루반, 3) 매력적인 아로마의 향연 글렌모렌지 넥타도르 등 세가지 제품으로 구성된다.특히 이 세 가지의 특별한 싱글 몰트 위스키 제품은 상온여과 후 도수 46% 상태로 출시되어 화려한 컬러와 매혹적인 풍미, 유혹적인 아로마와 풍부한 질감을 고스란히 간직하고 있다.글렌모렌지 라산타는 버번 위스키를 담았던 참나무통에서 최소10년간 일차적으로 숙성시킨 글렌모렌지 오리지널을 올로로소 셰리 와인통으로 옮겨 2년간 추가 숙성시켜서 만든 싱글 몰트위스키 제품이다.게일어로 라산타는 ‘따뜻함과 열정’을 의미한다.상상할 수 있는 가장 맛있는 디저트 같은 향기를 간직한 글렌모렌지 라산타는 오렌지, 호두, 버터, 달콤한 토피의 맛과 함께 스페인산 셰리의 특징인 풍부하고 달콤한 풍미를 느낄수 있다."
위스키,글렌스코티아15년,영국,750,46,"맛은 충만한 과일의 풍미가 복합성이 느껴지는 드라이함으로 이어지며물을 첨가할 경우, 우드와 균형을 이루는 카라멜의 풍미를 제공합니다.​"
위스키,글렌알라키 12년,영국,700,46,
위스키,글렌알라키8년,영국,700,46,
위스키,글렌카담10년,영국,700,46,
위스키,글렌카담13년,영국,700,46,
위스키,글렌카담15년,영국,700,46,
위스키,글렌킨치 12년 (싱글몰트),영국,700,43,"글렌킨치는 디아지오의 클래식 몰트 셀렉션 가운데 하나로, 1825년에 ‘밀튼’이라는 증류소에서 시작하였다. 글렌킨치의 라벨을 보면 ‘에든버러 몰트’라고 적혀 있다. 방문해 볼 만한 곳으로 유명한 글렌킨치 증류소는 스코틀랜드 수도 에든버러에서 25킬로미터 떨어진 펜카이트 랜드 마을에 위치해 있다.맥아 향과 초록색 풀 향기가 나며 가벼운 느낌이다. 레몬과 멜론 향이 살며시 피어오른다. 약간 달콤하면서도 신선한 여름 과일 맛이 깊게 배어 있고 따뜻하고 스파이시하면서 드라이한 오크 향이 남는다"
위스키,글렌파클라스 105,영국,700,60,
위스키,글렌파클라스 15,영국,700,46,
